State,Code,Type,Address,City,State,Zip
Arizona,GYR1,FC,Bullard Ave & Yuma Rd,Goodyear,AZ,85338
Arkansas,-,FC,Zeuber Rd,Little Rock,AR,72206
California,ONT2,FC,E Central Avenue,San Benardino,CA,
California,FBA Prep Service,,Lincoln, California,,
California,FBA Prep Service,,Los Angeles, California,,
California,FBA Prep Service,,Whittier, California,,
California,FBA Prep Service,,Vernon, California,,
California,FBA Prep Service,,Oceanside, California,,
California,FBA Prep Service,,Los Angeles, California,,
Florida,,FC,Harney Rd West of US 301,Temple Terrace,FL,30087
Georgia,,FC,South Fulton Rd,Union City,GA,30349
Illinois,,FC,SW Corner of Central Ave & Steger Rd,University Park,IL,60449
Kansas,,FC,NE Corner of 69th N & Broadway,Wichita,KS,67219
Michigan,,FC,West State Fair Ave,Detroit,MI,48203
Minnesota,MSP2,FC,Wwwy 169 & Hwy 610 NE,Brooklyn ark,MN,55445
Minnesota,FBA Prep Service,,Brooklyn Park, Minnesota,,
New York,SWF1,FC,Highway 17K/Route 747 at International Blvd,Montgomery,NY,13090
Ohio,,FC,Beech Road S of State 161 Interchange,New Albany,OH,43054
Oklahoma,OKC2,FC,SW 89 and Portland Ave,Oklahoma City,OK,73159
Tennessee,,FC,Corner of Golden Bear Gateway and East Divison St,My Juliet,TN,37122
Texas,,FC,Us Highway 80 & Gateway Blvd,Forney,TX,75126
Texas,,FC,Gateway Dr,Frisco,TX,75035
Texas,,FC,Building 3 Chisholm Trade Rd,Round Rock,TX,78681
Texas,,FC,Cl Turner Drive,San Antonio,TX,78220
Arizona,,Inbound Cross Dock,Indian School Rd & Cotton Lane,Goodyear,AZ,85395
Virginia,,Inbound Cross Dock,TBD,Chesapeake,VA,
Arizona,,Last Mile Facility,Litchfield Rd & Waddell Rd,Phoenix,AZ,85379
Arizona,,Last Mile Facility,Higley Rd & McDowell Rd,Mesa,AZ,85215
Arizona,,Last Mile Facility,N 7th Ave/Pinnacle Peak Rd,Phoenix,AZ,85215
Colorado,,Last Mile Facility,Huron St near W 160th Ave,Broomfield,CO,80023
Florida,,Last Mile Facility,NE Corner State Road 54 & Suncoast Pkwy,Lutz,FL,33549
Florida,DFL8,Last Mile Facility,NW of Republic Dr and Independence Blvd,Groveland,FL,34736
Missouri,,Last Mile Facility,Premier Parkway & Spencer Rd,St Peters,MO,63042
New Jersey,,Last Mile Facility,Logistics Dr,Kearny,NJ,07032
New York,,Last Mile Facility,Gulf Ave,Staten Island,NY,10314
New York,,Last Mile Facility,Junction Robbins Lane & 1-495,Syosset,NY,11791
New York,,Last Mile Facility,Industry City,Hunts Point,NY,
Ohio,,Last Mile Facility,Intersection of Interstate 77 and Pershing Ave,Cleveland,OH,44127
Ohio,,Last Mile Facility,Southwyck Blvd,Toledo,OH,43614
Texas,DHO2,Last Mile Facility,Brasada Dr,Houston,TX,77085
