Amazon Centers,"","","","","","","",Amazon Center Geocode,"","","","","","","","","","","","","","","",Amazon Center Location,"","",Nearest Restaurant,"","","","","","","",""
MongoDB ID,Code,Type,Address,City,State,Zip,"",Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,County,Country,Source,"",Type,Coordinates,"",Distance (Miles),RVP,AD,Restaurant #,Name,Address,City,State,Zip
5f8f6f2cdc929b48ad8064bc,PHX5,FC,16920 W. Commerce Drive,Goodyear,AZ,85338,"",,Goodyear,AZ,85338,33.412041,-112.421795,1,rooftop,16920,W Commerce Dr,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.421795, 33.412041]","",19.24174293654129,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064bd,PHX7,FC,800 N. 75th Avenue,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.457008,-112.225361,1,rooftop,800,N 75th Ave,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.225361, 33.457008]","",12.497350930951244,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064bf,PHX3,FC,6835 W. Buckeye Rd.,Phoenix,AZ,false,"",,Phoenix,AZ,85043,33.433218,-112.206616,1,rooftop,6835,W Buckeye Rd,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.206616, 33.433218]","",14.189696368148986,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064c0,TFC1,FC,5050 W. Mohave Street,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.431244,-112.15928,1,range_interpolation,5050,W Mohave St,false,false,Maricopa County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-112.15928, 33.431244]","",13.136647928770838,"","",31,Ahwatukee,5005 E. Ray Rd,Phoenix,AZ,85044
5f8f6f2cdc929b48ad8064c1,TUS2,FC,6701 S. Kolb Rd.,Tuscon,AZ,85043,"",,Phoenix,AZ,85043,33.419152,-112.229971,0.5,street_center,false,W Globe Ave,false,false,Maricopa County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-112.229971, 33.419152]","",15.116875331583358,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064c2,TUS1,FC,5333 West Lower Buckeye Rd,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.420965,-112.175717,1,rooftop,5333,W Lower Buckeye Rd,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.175717, 33.420965]","",13.531790052776827,"","",31,Ahwatukee,5005 E. Ray Rd,Phoenix,AZ,85044
5f8f6f2cdc929b48ad8064c3,PHX6,FC,4750 W. Mohave Street,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.434617,-112.167223,1,rooftop,4750,W Mohave St,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.167223, 33.434617]","",13.644810678905035,"","",31,Ahwatukee,5005 E. Ray Rd,Phoenix,AZ,85044
5f8f6f2cdc929b48ad8064c4,AZA4,FC,3333 S 59th Ave,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.417057,-112.184309,1,rooftop,3333,S 59th Ave,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.184309, 33.417057]","",13.823867562883434,"","",31,Ahwatukee,5005 E. Ray Rd,Phoenix,AZ,85044
5f8f6f2cdc929b48ad8064c5,-,FC,3809 E Watkins St,Phoenix,AZ,85034,"",,Phoenix,AZ,85034,33.423478,-111.998535,1,rooftop,3809,E Watkins St,false,false,Maricopa County,US,Maricopa,"",Point,"[-111.998535, 33.423478]","",7.334833351292127,"","",31,Ahwatukee,5005 E. Ray Rd,Phoenix,AZ,85044
5f8f6f2cdc929b48ad8064c6,XUSH,FC,7037 West Van Buren St,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.450089,-112.21008,1,rooftop,7037,W Van Buren St,false,false,Maricopa County,US,Maricopa,"",Point,"[-112.21008, 33.450089]","",13.010757685251995,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064c7,GYR3,FC,8181 W Roosevelt St,Phoenix,AZ,85043,"",,Phoenix,AZ,85043,33.458269,-112.233432,1,range_interpolation,8181,W Roosevelt St,false,false,Maricopa County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-112.233432, 33.458269]","",12.416106559710393,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064c8,PHX9,FC,777 S 79th Avenue,Tolleson,AZ,85353,"",,Tolleson,AZ,85353,33.45004,-112.25932,0.33,place,false,false,false,false,Maricopa County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-112.25932, 33.45004]","",13.115226922414452,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064cb,GYR4,FC,10205 W Roosevelt St,Avondale,AZ,85323,"",,Avondale,AZ,85323,33.452455,-112.317025,0.6,street_center,false,W Roosevelt St,false,false,Maricopa County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-112.317025, 33.452455]","",13.831359134277255,"","",78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382
5f8f6f2cdc929b48ad8064dc,DEN5,SC,19799 E 36th Dr,Aurora,CO,80011,"",,Aurora,CO,80011,39.767183,-104.75573,1,rooftop,19799,E 36th Dr,false,false,Adams County,US,City of Aurora,"",Point,"[-104.75573, 39.767183]","",11.673497763284523,"","",177,Smoky Hill,6369 S. Southlands Pkwy,Aurora,CO,80016
5f8f6f2cdc929b48ad8064dd,DEN2,FC,24006 East 19th Avenue,Aurora,CO,80019-3705,"",,Aurora,CO,80019,39.742413,-104.707725,1,rooftop,24006,E 19th Ave,false,false,Adams County,US,City of Aurora,"",Point,"[-104.707725, 39.742413]","",9.723825333470382,"","",177,Smoky Hill,6369 S. Southlands Pkwy,Aurora,CO,80016
