State,Code,Type,Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Alabama,BHM1,FC,"975 Powder Plant Road"," Bessemer",AL,35022,33.376421,-87.007727,1,rooftop,975,"Powder Plant Rd",,,Bessemer,AL,"Jefferson County",35022,US,Jefferson
Arizona,PHX3,FC,"6835 W. Buckeye Rd.",Phoenix,AZ,,33.433218,-112.206616,1,rooftop,6835,"W Buckeye Rd",,,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
Arizona,PHX5,FC,"16920 W. Commerce Drive"," Goodyear",AZ,85338,33.412041,-112.421795,1,rooftop,16920,"W Commerce Dr",,,Goodyear,AZ,"Maricopa County",85338,US,Maricopa
Arizona,PHX6,FC,"4750 W. Mohave Street"," Phoenix",AZ,85043,33.434617,-112.167223,1,rooftop,4750,"W Mohave St",,,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
Arizona,PHX7,FC,"800 N. 75th Avenue"," Phoenix",AZ,85043,33.457008,-112.225361,1,rooftop,800,"N 75th Ave",,,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
Arizona,TFC1,FC,"5050 W. Mohave Street"," Phoenix",AZ,85043,33.431244,-112.15928,1,range_interpolation,5050,"W Mohave St",,,Phoenix,AZ,"Maricopa County",85043,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,PHX9,FC,"777 S 79th Avenue"," Tolleson",AZ,85353,33.45004,-112.25932,0.33,place,,,,,Tolleson,AZ,"Maricopa County",85353,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,TUS1,FC,"5333 West Lower Buckeye Rd"," Phoenix",AZ,85043,33.420965,-112.175717,1,rooftop,5333,"W Lower Buckeye Rd",,,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
Arizona,TUS2,FC,"6701 S. Kolb Rd."," Tuscon",AZ,85043,33.419152,-112.229971,0.5,street_center,,"W Globe Ave",,,Phoenix,AZ,"Maricopa County",85043,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,AZA4,FC,"3333 S 59th Ave",Phoenix,AZ,85043,33.417057,-112.184309,1,rooftop,3333,"S 59th Ave",,,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
Arizona,GYR3,FC,"8181 W Roosevelt St",Phoenix,AZ,85043,33.458269,-112.233432,1,range_interpolation,8181,"W Roosevelt St",,,Phoenix,AZ,"Maricopa County",85043,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,GYR4,FC,"10205 W Roosevelt St",Avondale,AZ,85323,33.452455,-112.317025,0.6,street_center,,"W Roosevelt St",,,Avondale,AZ,"Maricopa County",85323,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,-,FC,"3809 E Watkins St",Phoenix,AZ,85034,33.423478,-111.998535,1,rooftop,3809,"E Watkins St",,,Phoenix,AZ,"Maricopa County",85034,US,Maricopa
Arizona,XUSH,FC,"7037 West Van Buren St",Phoenix,AZ,85043,33.450089,-112.21008,1,rooftop,7037,"W Van Buren St",,,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
California,SNA4,FC,"2496 W Walnut St.",Rialto,CA,92376,34.131296,-117.425356,0.69,nearest_rooftop_match,2510,"W Walnut Ave",,,Rialto,CA,"San Bernardino County",92376,US,"San Bernardino County"
California,SNA6,FC,"5250 Goodman Road"," Eastvale",CA,92880,33.772959,-116.279138,0.5,street_center,,"Goodman Rd",,,Indio,CA,"Riverside County",92203,US,"TIGER/Line® dataset from the US Census Bureau"
California,SNA7/8,FC,"555 East Orange Show Rd.","San Benardino",CA,92408,34.079577,-117.276069,1,range_interpolation,555,"E Orange Show Rd",,,"San Bernardino",CA,"San Bernardino County",92408,US,"TIGER/Line® dataset from the US Census Bureau"
California,SNA9,FC,"5250 Goodman Road"," Eastvale",CA,92880,33.772959,-116.279138,0.5,street_center,,"Goodman Rd",,,Indio,CA,"Riverside County",92203,US,"TIGER/Line® dataset from the US Census Bureau"
California,SJC7,FC,"188 Mountain House Pkwy"," Tracy",CA,95391,37.77539,-121.578931,0.52,street_center,,"Mountain House Rd",,,Tracy,CA,"Alameda County",95391,US,"TIGER/Line® dataset from the US Census Bureau"
California,ONT2/5/7,SC,"2020 E Central Avenue","San Benardino",CA,,0,0,0,,,,,,,,,,,
California,ONT6,FC,"24208 San Michele"," Moreno Valley",CA,92551,33.871059,-117.235499,1,rooftop,24208,"San Michele Rd",,,"Moreno Valley",CA,"Riverside County",92551,US,Riverside
California,ONT9,FC,"2125 W San Bernardino Ave"," Redlands",CA,,34.075731,-117.228357,1,rooftop,2125,"W San Bernardino Ave",,,Redlands,CA,"San Bernardino County",92374,US,"San Bernardino County"
California,OAK3,FC,"255 Park Center Drive"," Patterson City",CA,95363-8876,37.46985,-121.165345,1,rooftop,255,"Park Center Dr",,,Patterson,CA,"Stanislaus County",95363,US,"Stanislaus County"
California,OAK4,FC,"1555 N. Chrisman Road"," Tracy",CA,95304-9370,37.745664,-121.406031,0.9,rooftop,1555,"N Chrisman Rd",,,Tracy,CA,"San Joaquin County",95376,US,"San Joaquin County"
California,OAK5,SC,"38811 Cherry Street"," Newark",CA,94560,37.51982,-122.01448,1,rooftop,38811,"Cherry St",,,Newark,CA,"Alameda County",94560,US,"Alameda County"
