Provider Number,Network,Facility Name,Address Line 1,City,State,Zip,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Offers in-center hemodialysis,Certification or Recertification Date
42569,13,HOPE DIALYSIS CENTER,407 W 16TH ST,HOPE,AR,71801,HEMPSTEAD,Profit,INDEPENDENT,11,TRUE,8/16/02
42540,13,DAVITA BENTONVILLE DIALYSIS,1104 SE 30TH ST,BENTONVILLE,AR,72712,BENTON,Profit,DAVITA,21,TRUE,1/1/96
42517,13,DAVITA CONWAY DIALYSIS,2445 CHRISTINA LN,CONWAY,AR,72034,FAULKNER,Profit,DAVITA,20,TRUE,8/23/88
42549,13,X CLOSED DAVITA - SILOAM SPRINGS,500 S MT OLIVE STE 107,SILOAM SPRINGS,AR,72761,BENTON,Profit,DAVITA,8,TRUE,6/17/98
42585,13,DAVITA FORREST CITY DIALYSIS,1501 N WASHINGTON ST,FORREST CITY,AR,72335,SAINT FRANCIS,Profit,DAVITA,12,TRUE,9/28/09
42592,13,DCI - LITTLE ROCK RENAL SERVICES LLC,1910 JOHN BARROW RD,LITTLE ROCK,AR,72204,PULASKI,Non-Profit,"DIALYSIS CLINIC, INC.",18,TRUE,10/20/15
42591,13,WESTSIDE DIALYSIS UNIT LLC,1515 KANIS PARK DR,LITTLE ROCK,AR,72204,PULASKI,Profit,INDEPENDENT,16,TRUE,3/23/15
42532,13,FMCNA - PINE BLUFF,2910 MARKET ST,PINE BLUFF,AR,71601,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,23,TRUE,4/21/93
42597,13,DAVITA DIAMOND STATE DIALYSIS,9022 LANDERS RD SUITE E,NORTH LITTLE ROCK,AR,72117,PULASKI,Profit,DAVITA,12,TRUE,6/15/18
42577,13,NEA BAPTIST CLINIC - MIDDLEFIELD,3005 MIDDLEFIELD,JONESBORO,AR,72401,CRAIGHEAD,Non-Profit,INDEPENDENT,15,TRUE,11/9/05
42536,13,DAVITA SOUTH ARKANSAS DIALYSIS,620 W GROVE ST,EL DORADO,AR,71730,UNION,Profit,DAVITA,36,TRUE,3/1/95
42557,13,DAVITA INDEPENDENCE COUNTY DIALYSIS,1700 HARRISON ST STE F,BATESVILLE,AR,72501,INDEPENDENCE,Profit,DAVITA,12,TRUE,8/30/99
