"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"407 W 16TH ST",HOPE,AR,71801,33.653401,-93.591878,1,rooftop,407,"W 16th St",,,Hope,AR,"Hempstead County",71801,US,"Arkansas Geographic Information Office"
"1104 SE 30TH ST",BENTONVILLE,AR,72712,36.33955,-94.196244,1,rooftop,1104,"SE 30th St",,,Bentonville,AR,"Benton County",72712,US,"Arkansas Geographic Information Office"
"2445 CHRISTINA LN",CONWAY,AR,72034,35.068351,-92.462163,1,range_interpolation,2445,"Christina Ln",,,Conway,AR,"Faulkner County",72034,US,"TIGER/Line® dataset from the US Census Bureau"
"500 S MT OLIVE STE 107","SILOAM SPRINGS",AR,72761,36.181298,-94.542001,1,rooftop,500,"S Mt Olive St",,,"Siloam Springs",AR,"Benton County",72761,US,"Arkansas Geographic Information Office"
"1501 N WASHINGTON ST","FORREST CITY",AR,72335,35.024118,-90.788467,1,rooftop,1501,"N Washington St",,,"Forrest City",AR,"St. Francis County",72335,US,"Arkansas Geographic Information Office"
"1910 JOHN BARROW RD","LITTLE ROCK",AR,72204,34.736278,-92.373112,1,rooftop,1910,"John Barrow Rd",,,"Little Rock",AR,"Pulaski County",72204,US,Pulaski
"1515 KANIS PARK DR","LITTLE ROCK",AR,72204,34.738764,-92.375542,0.3,rooftop,1515,"Kanis Park Dr",,,"Little Rock",AR,"Pulaski County",72205,US,Pulaski
"2910 MARKET ST","PINE BLUFF",AR,71601,34.212744,-91.969792,1,rooftop,2910,"Market St",,,"Pine Bluff",AR,"Jefferson County",71601,US,"Arkansas Geographic Information Office"
"9022 LANDERS RD SUITE E","NORTH LITTLE ROCK",AR,72117,34.834866,-92.168273,1,rooftop,9022,"Landers Rd",Ste,E,"North Little Rock",AR,"Pulaski County",72117,US,Pulaski
"3005 MIDDLEFIELD",JONESBORO,AR,72401,35.808777,-90.66416,1,rooftop,3005,"Middlefield Dr",,,Jonesboro,AR,"Craighead County",72401,US,"Arkansas Geographic Information Office"
"620 W GROVE ST","EL DORADO",AR,71730,33.218687,-92.66978,1,rooftop,620,"W Grove St",,,"El Dorado",AR,"Union County",71730,US,"Arkansas Geographic Information Office"
"1700 HARRISON ST STE F",BATESVILLE,AR,72501,35.769695,-91.632792,1,range_interpolation,1700,"Harrison St",Ste,F,Batesville,AR,"Independence County",72501,US,"TIGER/Line® dataset from the US Census Bureau"
"2201 BROOKEN HILL DR","FORT SMITH",AR,72908,35.298182,-94.41197,1,rooftop,2201,"Brooken Hill Dr",,,"Fort Smith",AR,"Sebastian County",72908,US,"Arkansas Geographic Information Office"
"1200 CRESTWOOD CIR",MENA,AR,71953,34.588462,-94.219113,1,rooftop,1200,"Crestwood Cir",,,Mena,AR,"Polk County",71953,US,"Arkansas Geographic Information Office"
"774 JORDAN DR",MONTICELLO,AR,71655,33.608602,-91.817312,1,rooftop,774,"Jordan Dr",,,Monticello,AR,"Drew County",71655,US,"Arkansas Geographic Information Office"
"1001 E MOULTRIE",BLYTHEVILLE,AR,72315,35.935837,-89.882587,1,rooftop,1001,"E Moultrie Dr",,,Blytheville,AR,"Mississippi County",72315,US,"Arkansas Geographic Information Office"
"101 N 37TH STREET",ROGERS,AR,72756,36.334971,-94.169277,1,rooftop,101,"N 37th St",,,Rogers,AR,"Benton County",72756,US,"Arkansas Geographic Information Office"
"4909 E JOHNSON AVE",JONESBORO,AR,72401,35.864053,-90.636907,1,range_interpolation,4909,"E Johnson Ave",,,Jonesboro,AR,"Craighead County",72401,US,"TIGER/Line® dataset from the US Census Bureau"
"1590 TANNER RD",MALVERN,AR,72104,34.385506,-92.830949,1,range_interpolation,1590,"Tanner Rd",,,Malvern,AR,"Hot Spring County",72104,US,"TIGER/Line® dataset from the US Census Bureau"
"201 SKYLINE DR  STE 32",CONWAY,AR,72032,35.112171,-92.428804,1,rooftop,201,"Skyline Dr",Ste,32,Conway,AR,"Faulkner County",72032,US,"Arkansas Geographic Information Office"
"225 N DUDNEY",MAGNOLIA,AR,71753,33.268897,-93.233322,1,rooftop,225,"N Dudney",,,Magnolia,AR,"Columbia County",71753,US,"Arkansas Geographic Information Office"
"310 S FALLS BLVD",WYNNE,AR,72396,35.219849,-90.786759,1,rooftop,310,"S Falls Blvd",,,Wynne,AR,"Cross County",72396,US,"Arkansas Geographic Information Office"
"1301 N HERVEY ST, SUITE B",HOPE,AR,71801,33.680771,-93.602734,1,rooftop,1301,"N Hervey St",Ste,B,Hope,AR,"Hempstead County",71801,US,"Arkansas Geographic Information Office"
"312 PROFESSIONAL PARK DR STE H",ARKADELPHIA,AR,71923,34.121221,-93.088893,1,rooftop,312,"Professional Park Dr",Ste,H,Arkadelphia,AR,"Clark County",71923,US,"Arkansas Geographic Information Office"
"1 CHILDRENS WAY-SLOT 204","LITTLE ROCK",AR,72202,34.742747,-92.29279,1,rooftop,1,"Childrens Way",,,"Little Rock",AR,"Pulaski County",72202,US,Pulaski
"3000 NW ""A"" STREET",BENTONVILLE,AR,72712,36.408548,-94.216046,1,rooftop,3000,"NW A St",,,Bentonville,AR,"Benton County",72712,US,"Arkansas Geographic Information Office"
"2101 CONGO RD",BENTON,AR,72015,34.584012,-92.571951,1,rooftop,2101,"Congo Rd",,,Benton,AR,"Saline County",72015,US,"Arkansas Geographic Information Office"
"108 D ANNA PL",HELENA,AR,72342,34.52955,-90.59177,0.33,place,,,,,Helena,AR,"Phillips County",72342,US,"TIGER/Line® dataset from the US Census Bureau"
"115 WRIGHTS ST STE A","HOT SPRINGS",AR,71913,34.471968,-93.06184,1,rooftop,115,"Wrights St",Ste,A,"Hot Springs National Park",AR,"Garland County",71913,US,"Arkansas Geographic Information Office"
"1420 W KEISER AVE",OSCEOLA,AR,72370,35.698445,-89.991876,1,rooftop,1420,"W Keiser Ave",,,Osceola,AR,"Mississippi County",72370,US,"Arkansas Geographic Information Office"
"204 N BRAGG",WARREN,AR,71671,33.612919,-92.077814,1,rooftop,204,"N Bragg",,,Warren,AR,"Bradley County",71671,US,"Arkansas Geographic Information Office"
"202 JOHN HARDIN DR",JACKSONVILLE,AR,72076,34.870726,-92.12519,1,rooftop,202,"John Harden Dr",,,Jacksonville,AR,"Pulaski County",72076,US,Pulaski
"901 W KINGS HIGHWAY",PARAGOULD,AR,72450,36.067617,-90.563304,0.6,street_center,,"US Hwy 412",,,Paragould,AR,"Greene County",72450,US,"TIGER/Line® dataset from the US Census Bureau"
"422 BEECH ST",TEXARKANA,AR,71854,33.427603,-94.036681,1,rooftop,422,"Beech St",,,Texarkana,AR,"Miller County",71854,US,"Arkansas Geographic Information Office"
"2158 BUTTERFIELD COACH RD",SPRINGDALE,AR,72764,36.165012,-94.095235,1,rooftop,2158,"Butterfield Coach Rd",,,Springdale,AR,"Washington County",72764,US,"Arkansas Geographic Information Office"
"5320 WEST 12TH ST","EAST LITTLE ROCK",AR,72204,34.741391,-92.332953,1,rooftop,5320,"W 12th St",,,"Little Rock",AR,"Pulaski County",72204,US,Pulaski
"10310 W MARKHAM STE 100","LITTLE ROCK",AR,72205,34.754331,-92.388113,1,rooftop,10310,"W Markham St",,,"Little Rock",AR,"Pulaski County",72205,US,Pulaski
"#2 LILE CT STE 102","LITTLE ROCK",AR,72205,34.746328,-92.378303,1,rooftop,2,"Lile Ct",Ste,102A,"Little Rock",AR,"Pulaski County",72205,US,Pulaski
"139 W HWY 64 STE 100",MCCRORY,AR,72101,35.268406,-91.203005,1,rooftop,139,"W US 64 Hwy",Ste,64,McCrory,AR,"Woodruff County",72101,US,"Arkansas Geographic Information Office"
"2800 W 28TH ST","PINE BLUFF",AR,71603,34.201497,-92.031741,1,rooftop,2800,"W 28th Ave",,,"Pine Bluff",AR,"Jefferson County",71603,US,"Arkansas Geographic Information Office"
"404 CAMP RD",POCAHONTAS,AR,72455,36.289952,-90.99303,1,rooftop,404,"Camp Rd",,,Pocahontas,AR,"Randolph County",72455,US,"Arkansas Geographic Information Office"
"805 WEST MADISON",STUTTGART,AR,72160,34.516318,-91.560165,0.8,rooftop,805,"Madison St",,,Stuttgart,AR,"Arkansas County",72160,US,"Arkansas Geographic Information Office"
