"Provider Number",Network,"Facility Name","Address Line 1",City,State,Zip,County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Offers in-center hemodialysis","Certification or Recertification Date",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
422593,6,"NRA HOLLY HILL DIALYSIS CENTER","8532 OLD STATE ROAD","HOLLY HILL",SC,29059,ORANGEBURG,Profit,"FRESENIUS MEDICAL CARE",16,TRUE,10/14/03,33.32226,-80.413247,1,rooftop,8532,"Old State Rd",,,"Holly Hill",SC,"Orangeburg County",29059,US,Orangeburg
422569,6,"FMC DIALYSIS SERVICES NORTH MYRTLE BEACH","1307 13TH AVENUE NORTH","NORTH MYRTLE BEACH",SC,29582,HORRY,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,3/31/99,33.84124,-78.666494,1,rooftop,1307,"13th Ave N",,,"North Myrtle Beach",SC,"Horry County",29582,US,Horry
422512,6,"DAVITA AIKEN DIALYSIS","775 MEDICAL PARK DRIVE",AIKEN,SC,29801,AIKEN,Profit,DAVITA,22,TRUE,7/7/80,33.572185,-81.764041,1,range_interpolation,775,"Medical Park Dr",,,Aiken,SC,"Aiken County",29801,US,"TIGER/Line® dataset from the US Census Bureau"
422623,6,"FRESENIUS MEDICAL CARE MYRTLE BEACH","4592 OLEANDER DR","MYRTLE BEACH",SC,29577,HORRY,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,6/30/09,33.731151,-78.862859,1,range_interpolation,4592,"Oleander Dr",,,"Myrtle Beach",SC,"Horry County",29577,US,"TIGER/Line® dataset from the US Census Bureau"
422604,6,"USRC SOUTH AIKEN, LLC","169 CREPE MYRTLE DR",AIKEN,SC,29803,AIKEN,Profit,"US RENAL CARE, INC.",18,TRUE,4/12/06,33.513571,-81.734576,1,range_interpolation,169,"Crepe Myrtle Ct",,,Aiken,SC,"Aiken County",29803,US,"TIGER/Line® dataset from the US Census Bureau"
422556,6,"RAI CARE CENTERS SUMMERVILLE","109 BURTON AVENUE",SUMMERVILLE,SC,29485,DORCHESTER,Profit,"FRESENIUS MEDICAL CARE",22,TRUE,9/29/95,32.966368,-80.156521,1,rooftop,109,"Burton Ave",,,Summerville,SC,"Dorchester County",29485,US,"City of Summerville"
422542,6,"CONWAY DIALYSIS CENTER","838 FARRAR DRIVE",CONWAY,SC,29526,HORRY,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,4/13/89,33.775079,-79.019738,1,rooftop,838,"Farrar Dr",,,Conway,SC,"Horry County",29526,US,Horry
422538,6,"FMC OF FORT MILL","535 RIVER CROSSING DRIVE","FORT MILL",SC,29715,YORK,Profit,"FRESENIUS MEDICAL CARE",32,TRUE,9/20/88,34.998247,-80.973922,1,rooftop,535,"River Crossing Dr",,,"Fort Mill",SC,"York County",29715,US,"City of Rock Hill"
422563,6,"DCI MAGNOLIA COURT","1427 KING STREET",CHARLESTON,SC,29403,CHARLESTON,Non-Profit,"DIALYSIS CLINIC, INC.",17,TRUE,11/13/96,32.816135,-79.951475,1,range_interpolation,1427,"King St",,,Charleston,SC,"Charleston County",29403,US,"TIGER/Line® dataset from the US Census Bureau"
422608,6,"CAROLINA DIALYSIS LLC","115 INTERSTATE PARK",SPARTANBURG,SC,29303,SPARTANBURG,Profit,"AMERICAN RENAL ASSOCIATES",20,TRUE,11/16/06,34.96611,-82.015918,1,range_interpolation,115,"I- Park",,,Spartanburg,SC,"Spartanburg County",29303,US,"TIGER/Line® dataset from the US Census Bureau"
422519,6,"FMC OF GEORGETOWN INC","1120 N FRASER STREET",GEORGETOWN,SC,29440,GEORGETOWN,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,6/27/83,33.385576,-79.288029,1,range_interpolation,1120,"N Fraser St",,,Georgetown,SC,"Georgetown County",29440,US,"TIGER/Line® dataset from the US Census Bureau"
422533,6,"FRESENIUS MEDICAL CARE MONCKS CORNER","112 MCCORMICK CIRCLE","MONCKS CORNER",SC,29461,BERKELEY,Profit,"FRESENIUS MEDICAL CARE",25,TRUE,11/18/87,33.208305,-79.980277,1,rooftop,112,"McCormick Cir",,,"Moncks Corner",SC,"Berkeley County",29461,US,Berkeley
422506,6,"FMC ANDERSON DIALYSIS CLINIC","416 E CALHOUN STREET STE A",ANDERSON,SC,29621,ANDERSON,Profit,"FRESENIUS MEDICAL CARE",48,TRUE,8/16/77,34.509078,-82.645594,1,rooftop,416,"E Calhoun St",Ste,A,Anderson,SC,"Anderson County",29621,US,Anderson
422568,6,"DCI JAMES ISLAND","959 FOLLY ROAD",CHARLESTON,SC,29412,CHARLESTON,Non-Profit,"DIALYSIS CLINIC, INC.",16,TRUE,3/18/99,32.731094,-79.969535,1,rooftop,959,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,Charleston
422557,6,"DAVITA ALLENDALE COUNTY DIALYSIS","1241 BOUNDARY STREET",FAIRFAX,SC,29827,ALLENDALE,Profit,DAVITA,21,TRUE,11/3/95,32.966272,-81.242245,0.9,range_interpolation,1241,"Boundary St",,,Fairfax,SC,"Allendale County",29827,US,"TIGER/Line® dataset from the US Census Bureau"
422612,6,"DCI GOOSE CREEK INC","98 HAMLET CIRCLE","GOOSE CREEK",SC,29445,BERKELEY,Non-Profit,"DIALYSIS CLINIC, INC.",17,TRUE,12/1/06,33.015258,-80.0807,1,rooftop,98,"Hamlet Cir",,,"Goose Creek",SC,"Berkeley County",29445,US,Berkeley
422589,6,"FMC DIALYSIS SERVICES OF YORK COUNTY","1560 HEALTH CARE DRIVE","ROCK HILL",SC,29732,YORK,Profit,"FRESENIUS MEDICAL CARE",23,TRUE,5/20/03,34.950968,-81.04845,1,rooftop,1560,"Health Care Dr",,,"Rock Hill",SC,"York County",29732,US,"City of Rock Hill"
422584,6,"DSI POWDERHORN DIALYSIS","16 POWDERHORN ROAD",SIMPSONVILLE,SC,29681,GREENVILLE,Profit,"US RENAL CARE, INC.",21,TRUE,1/17/02,34.721331,-82.250457,1,rooftop,16,"Powderhorn Rd",,,Simpsonville,SC,"Greenville County",29681,US,Greenville
422594,6,"BAMBERG DIALYSIS","2046 MAIN HIGHWAY",BAMBERG,SC,29003,BAMBERG,Profit,"FRESENIUS MEDICAL CARE",16,TRUE,10/23/03,33.289701,-81.037929,0.6,street_center,,"US Hwy 301",,,Bamberg,SC,"Bamberg County",29003,US,"TIGER/Line® dataset from the US Census Bureau"
422578,6,"DAVITA PALMETTO DIALYSIS","317 PROFESSIONAL PARK ROAD",CLINTON,SC,29325,LAURENS,Profit,DAVITA,21,TRUE,1/23/01,34.481956,-81.936566,1,rooftop,317,"Professional Park Rd",,,Clinton,SC,"Laurens County",29325,US,Laurens
422543,6,"FRESENIUS MEDICAL CARE SOUTH COLUMBIA","2139 ADAMS GROVE ROAD",COLUMBIA,SC,29203,RICHLAND,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,7/5/89,34.027213,-81.026568,1,range_interpolation,2139,"Adams Grv",,,Columbia,SC,"Richland County",29203,US,"TIGER/Line® dataset from the US Census Bureau"
422517,6,"FRESENIUS MEDICAL CARE LEXINGTON","131 WHISPERING WINDS DR",LEXINGTON,SC,29072,LEXINGTON,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,1/7/83,33.975984,-81.214334,1,rooftop,131,"Whispering Winds Dr",,,Lexington,SC,"Lexington County",29072,US,Lexington
422528,6,"DAVITA WALTERBORO DIALYSIS","302 RUBY STREET",WALTERBORO,SC,29488,COLLETON,Profit,DAVITA,25,TRUE,2/27/87,32.924051,-80.672196,1,rooftop,302,"Ruby St",,,Walterboro,SC,"Colleton County",29488,US,Colleton
422617,6,"FRESENIUS MEDICAL CARE CHURCH STREET","406 SOUTH CHURCH STREET",FLORENCE,SC,29501,FLORENCE,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,3/27/08,34.191531,-79.761159,0.9,rooftop,406,"S Church St",,,Florence,SC,"Florence County",29506,US,Florence
422622,6,"DAVITA LONGS DIALYSIS","90 CLOVERLEAF DR SUITE 306",LONGS,SC,29568,HORRY,Profit,DAVITA,10,TRUE,4/14/09,33.891012,-78.693456,1,rooftop,90,"Cloverleaf Dr",Unit,306,Longs,SC,"Horry County",29568,US,Horry
422627,6,"FRESENIUS MEDICAL CARE COLUMBIA HOME","121 PARK CENTRAL DR",COLUMBIA,SC,29203,RICHLAND,Profit,"FRESENIUS MEDICAL CARE",2,FALSE,10/25/10,34.14958,-80.903351,0.9,range_interpolation,121,"Park St",,,Columbia,SC,"Richland County",29229,US,"TIGER/Line® dataset from the US Census Bureau"
422534,6,"DAVITA CENTRAL BAMBERG DIALYSIS","67 SUNSET DRIVE",BAMBERG,SC,29003,BAMBERG,Profit,DAVITA,20,TRUE,4/11/88,33.308589,-81.030859,1,range_interpolation,67,"Sunset Dr",,,Bamberg,SC,"Bamberg County",29003,US,"TIGER/Line® dataset from the US Census Bureau"
422550,6,"FRESENIUS MEDICAL CARE WEST COLUMBIA","105 SUM-MOR DRIVE","WEST COLUMBIA",SC,29169,LEXINGTON,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,10/18/93,34.008418,-81.108859,1,rooftop,105,"Sum Mor Dr",,,"West Columbia",SC,"Lexington County",29169,US,Lexington
