"Provider Number",Network,"Facility Name","Address Line 1",City,State,Zip,County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Offers in-center hemodialysis","Certification or Recertification Date",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
212564,5,"DAVITA LAKESIDE DIALYSIS","10401 HOSPITAL DR",CLINTON,MD,20735,"PRINCE GEORGES",Profit,DAVITA,15,TRUE,12/13/95,38.745513,-76.878312,1,rooftop,10401,"Hospital Dr",,,Clinton,MD,"Prince George's County",20735,US,"Prince Georges"
212700,5,"BIO-MEDICAL APPLICATIONS OF MARYLAND, INC.","5233 KING AVENUE",BALTIMORE,MD,21237,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",0,FALSE,3/8/16,39.356762,-76.471869,1,rooftop,5233,"King Ave",,,Rosedale,MD,"Baltimore County",21237,US,Baltimore
212531,5,"FMC - GREATER BALTIMORE","1104 WALTERS AVENUE",BALTIMORE,MD,21239,"BALTIMORE CITY",Profit,"FRESENIUS MEDICAL CARE",21,TRUE,2/1/88,39.359748,-76.59439,1,range_interpolation,1104,"Walters Ave",,,Baltimore,MD,"Baltimore city",21239,US,"TIGER/Line® dataset from the US Census Bureau"
212594,5,"DAVITA BEL AIR DIALYSIS","2225 OLD EMMORTON RD   STE 100","BEL AIR",MD,21015,HARFORD,Profit,DAVITA,24,TRUE,2/11/99,39.49568,-76.321985,1,rooftop,2225,"Old Emmorton Rd",Ste,100,"Bel Air",MD,"Harford County",21015,US,Harford
212536,5,"US RENAL CARE SILVER HILLS DIALYSIS","5652 SILVER HILL RD","DISTRICT HEIGHTS",MD,20747,"PRINCE GEORGES",Profit,"US RENAL CARE, INC.",24,TRUE,8/1/90,38.855791,-76.908931,1,rooftop,5652,"Silver Hill Rd",,,"District Heights",MD,"Prince George's County",20747,US,"Prince Georges"
212573,5,"FMC - ELKTON","216 S BRIDGE ST",ELKTON,MD,21921,CECIL,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,8/1/97,39.60377,-75.831322,1,rooftop,216,"S Bridge St",,,Elkton,MD,"Cecil County",21921,US,Cecil
212722,5,"DAVITA GOOD SAMARITAN DIALYSIS","5601 LOCH RAVEN BOULEVARD",BALTIMORE,MD,21239,"BALTIMORE CITY",Profit,DAVITA,53,TRUE,10/13/17,39.357742,-76.586841,1,rooftop,5601,"Loch Raven Blvd",,,Baltimore,MD,"Baltimore city",21239,US,"City of Baltimore"
212685,5,"DAVITA ELLICOTT KIDNEY DIALYSIS","3000 N RIDGE RD","ELLICOTT CITY",MD,21043,HOWARD,Profit,DAVITA,7,TRUE,7/8/14,39.290755,-76.820621,1,rooftop,3000,"N Ridge Rd",,,"Ellicott City",MD,"Howard County",21043,US,Howard
212734,5,"FRESENIUS KIDNEY CARE SOUTHERN MARYLAND HOME","28103 THREE NOTCH RD",MECHANICSVILLE,MD,20659,"SAINT MARYS",Profit,"FRESENIUS MEDICAL CARE",1,FALSE,1/1/19,38.437546,-76.731678,1,range_interpolation,28103,"Three Notch Rd",,,Mechanicsville,MD,"St. Mary's County",20659,US,"TIGER/Line® dataset from the US Census Bureau"
212587,5,"BMA - WHEATON","10901B GEORGIA AVENUE","SILVER SPRING",MD,20902,MONTGOMERY,Profit,"FRESENIUS MEDICAL CARE",14,TRUE,6/9/98,39.034396,-77.048591,0.9,rooftop,10901,"Georgia Ave",,,"Silver Spring",MD,"Montgomery County",20902,US,Montgomery
212708,5,"FRESENIUS KIDNEY CARE FLEET STREET","3700 FLEET STREET",BALTIMORE,MD,21224,"BALTIMORE CITY",Profit,"FRESENIUS MEDICAL CARE",28,TRUE,6/24/16,39.285932,-76.565862,1,rooftop,3700,"Fleet St",,,Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore"
212576,5,"DAVITA WHEATON DIALYSIS CENTER","WHEATON PARK SHOPPING CTR",WHEATON,MD,20902,MONTGOMERY,Profit,DAVITA,24,TRUE,9/10/97,39.033897,-77.034488,1,street_center,,"Wheaton Ln",,,"Silver Spring",MD,"Montgomery County",20902,US,"TIGER/Line® dataset from the US Census Bureau"
212539,5,"QUALITY CARE DIALYSIS - SOUTHERN MARYLAND","6357 OLD BRANCH AVE","CAMP SPRINGS",MD,20748,"PRINCE GEORGES",Profit,"FRESENIUS MEDICAL CARE",18,TRUE,10/1/90,38.802074,-76.906878,1,rooftop,6357,"Old Branch Ave",,,"Temple Hills",MD,"Prince George's County",20748,US,"Prince Georges"
212614,5,"RAI - CHILLUM-HYATTSVILLE","2426 CHILLUM RD",HYATTSVILLE,MD,20782,"PRINCE GEORGES",Profit,"FRESENIUS MEDICAL CARE",29,TRUE,11/13/00,38.952602,-76.969547,1,rooftop,2426,"Chillum Rd",,,Hyattsville,MD,"Prince George's County",20782,US,"Prince Georges"
212630,5,"FMC - FORT FOOTE","8507 OXON HILL RD","FORT WASHINGTON",MD,20744,"PRINCE GEORGES",Profit,"FRESENIUS MEDICAL CARE",12,TRUE,12/18/02,38.772774,-77.006601,1,rooftop,8507,"Oxon Hill Rd",,,"Fort Washington",MD,"Prince George's County",20744,US,"Prince Georges"
