Kidney Centers,"","","","","","","","","","","","","","",Kidney Center Geocode,"","","","","","","","","","","","","","","",Kidney Center Location,"","",Nearest Restaurant,"","","","","","","",""
MongoDB ID,# of Dialysis Stations,Address,Certification or Recertification Date,Chain Organization,City,County,Facility Name,Network,Offers In-Center Hemodialysis,Profit or Non-Profit,Provider Number,State,Zip,"",Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,County,Country,Source,"",Type,Coordinates,"",Distance (Miles),RVP,AD,Restaurant #,Name,Address,City,State,Zip
5f8f6ecd67bb5daf90ebc437,21,1104 SE 30TH ST,1/1/96,,BENTONVILLE,BENTON,DAVITA BENTONVILLE DIALYSIS,13,TRUE,Profit,42540,AR,72712,"",1104 SE 30TH ST,Bentonville,AR,72712,36.33955,-94.196244,1,rooftop,1104,SE 30th St,false,false,Benton County,US,Arkansas Geographic Information Office,"",Point,"[-94.196244, 36.33955]","",0.9695148760320168,"","",154,Rogers,577 N. 46th St,Rogers,AR,72756
5f8f6ecd67bb5daf90ebc438,20,2445 CHRISTINA LN,8/23/88,,CONWAY,FAULKNER,DAVITA CONWAY DIALYSIS,13,TRUE,Profit,42517,AR,72034,"",2445 CHRISTINA LN,Conway,AR,72034,35.068351,-92.462163,1,range_interpolation,2445,Christina Ln,false,false,Faulkner County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-92.462163, 35.068351]","",2.7268685156226846,"","",248,Conway,1150 S. Amity Rd,Conway,AR,72032
5f8f6ecd67bb5daf90ebc43a,18,1910 JOHN BARROW RD,10/20/15,,LITTLE ROCK,PULASKI,DCI - LITTLE ROCK RENAL SERVICES LLC,13,TRUE,Non-Profit,42592,AR,72204,"",1910 JOHN BARROW RD,Little Rock,AR,72204,34.736278,-92.373112,1,rooftop,1910,John Barrow Rd,false,false,Pulaski County,US,Pulaski,"",Point,"[-92.373112, 34.736278]","",1.9161163612434131,"","",161,W. Little Rock,11721 Chenal Pkwy,W. Little Rock,AR,72211
5f8f6ecd67bb5daf90ebc43e,16,1515 KANIS PARK DR,3/23/15,,LITTLE ROCK,PULASKI,WESTSIDE DIALYSIS UNIT LLC,13,TRUE,Profit,42591,AR,72204,"",1515 KANIS PARK DR,Little Rock,AR,72205,34.738764,-92.375542,0.3,rooftop,1515,Kanis Park Dr,false,false,Pulaski County,US,Pulaski,"",Point,"[-92.375542, 34.738764]","",1.7239770076335572,"","",161,W. Little Rock,11721 Chenal Pkwy,W. Little Rock,AR,72211
5f8f6ecd67bb5daf90ebc440,12,9022 LANDERS RD SUITE E,6/15/18,,NORTH LITTLE ROCK,PULASKI,DAVITA DIAMOND STATE DIALYSIS,13,TRUE,Profit,42597,AR,72117,"",9022 LANDERS RD SUITE E,North Little Rock,AR,72117,34.834866,-92.168273,1,rooftop,9022,Landers Rd,Ste,E,Pulaski County,US,Pulaski,"",Point,"[-92.168273, 34.834866]","",2.6535071799823426,"","",233,Sherwood,6000 Warden Rd,Sherwood,AR,72120
5f8f6ecd67bb5daf90ebc446,26,1590 TANNER RD,4/14/03,,MALVERN,HOT SPRING,DAVITA MALVERN DIALYSIS,13,TRUE,Profit,42570,AR,72104,"",1590 TANNER RD,Malvern,AR,72104,34.385506,-92.830949,1,range_interpolation,1590,Tanner Rd,false,false,Hot Spring County,US,TIGER/Line® dataset from the US Census Bureau,"",Point,"[-92.830949, 34.385506]","",14.059654147266231,"","",104,Hot Springs,190 Pakis St,Hot Springs,AR,71913
5f8f6ecd67bb5daf90ebc448,16,101 N 37TH STREET,8/31/11,,ROGERS,BENTON,X CLOSED DAVITA - ROGERS DIALYSIS,13,TRUE,Profit,42586,AR,72756,"",101 N 37TH STREET,Rogers,AR,72756,36.334971,-94.169277,1,rooftop,101,N 37th St,false,false,Benton County,US,Arkansas Geographic Information Office,"",Point,"[-94.169277, 36.334971]","",0.6489252149348214,"","",154,Rogers,577 N. 46th St,Rogers,AR,72756
5f8f6ecd67bb5daf90ebc449,10,201 SKYLINE DR  STE 32,12/19/88,,CONWAY,FAULKNER,FMCNA - FAULKNER COUNTY,13,TRUE,Profit,42518,AR,72032,"",201 SKYLINE DR  STE 32,Conway,AR,72032,35.112171,-92.428804,1,rooftop,201,Skyline Dr,Ste,32,Faulkner County,US,Arkansas Geographic Information Office,"",Point,"[-92.428804, 35.112171]","",3.358617328267106,"","",248,Conway,1150 S. Amity Rd,Conway,AR,72032
5f8f6ecd67bb5daf90ebc44b,7,1 CHILDRENS WAY-SLOT 204,1/11/79,,LITTLE ROCK,PULASKI,ARKANSAS CHILDRENS HOSPITAL-DIALYSIS,13,TRUE,Non-Profit,42310,AR,72202,"",1 CHILDRENS WAY-SLOT 204,Little Rock,AR,72202,34.742747,-92.29279,1,rooftop,1,Childrens Way,false,false,Pulaski County,US,Pulaski,"",Point,"[-92.29279, 34.742747]","",6.330649799818802,"","",161,W. Little Rock,11721 Chenal Pkwy,W. Little Rock,AR,72211
5f8f6ecd67bb5daf90ebc44d,12,"3000 NW ""A"" STREET",5/16/18,,BENTONVILLE,BENTON,HIDDEN SPRINGS DIALYSIS CTR,13,TRUE,Profit,42596,AR,72712,"","3000 NW ""A"" STREET",Bentonville,AR,72712,36.408548,-94.216046,1,rooftop,3000,NW A St,false,false,Benton County,US,Arkansas Geographic Information Office,"",Point,"[-94.216046, 36.408548]","",5.155299483224792,"","",154,Rogers,577 N. 46th St,Rogers,AR,72756
5f8f6ecd67bb5daf90ebc44e,16,2101 CONGO RD,4/12/99,,BENTON,SALINE,FMCNA - BENTON,13,TRUE,Profit,42556,AR,72015,"",2101 CONGO RD,Benton,AR,72015,34.584012,-92.571951,1,rooftop,2101,Congo Rd,false,false,Saline County,US,Arkansas Geographic Information Office,"",Point,"[-92.571951, 34.584012]","",14.793502467482503,"","",161,W. Little Rock,11721 Chenal Pkwy,W. Little Rock,AR,72211
