RVP,AD,Restaurant #,Restaurant Name,Address,City,State,Zip,Phone,Metro Area
,,31,Ahwatukee,5005 E. Ray Rd,Phoenix,AZ,85044,602-247-7550,Phoenix
,,78,Arrowhead,7873 W. Bell Rd,Peoria,AZ,85382,602-247-7606,Phoenix
,,79,Superstition Springs,1710 S. Power Rd,Mesa,AZ,85206,602-247-7510,Phoenix
,,102,Bryant Irvin,4411 Bryant Irvin Rd,Ft. Worth,TX,76132,817-900-8190,Dallas
,,128,Burleson,13005 South Freeway,Burleson,TX ,76028,682-888-5066,Dallas
,,183,Weatherford,114 Interstate 20 Service Rd,Weatherford,TX,76086,817-594-2174,Dallas
,,240,Lake Worth,6536 NW Loop 820,Fort Worth,TX,76135,817-984-3881,Dallas
,,6,Garland,1350 Northwest Hwy,Garland,TX ,75041,972-865-7988,Dallas
,,50,Tyler,4301 Broadway,Tyler,TX,75703,903-266-1650,Tyler
,,107,Rockwall,747 IH 30 Center East,Rockwall,TX,75087,469-757-8850,Dallas
,,181,Texarkana,4300 Saint Michael Dr,Texarkana,TX,75503,903-280-7504,Shreveport
,,218,Firewheel,4970 N. George Bush Frwy,Garland,TX ,75040,972-372-0110,Dallas
,,243,Longview,200 W. Loop 281,Longview,TX,75605,903-781-3095,Longview
,,2,Arlington,2011 Copeland Rd,Arlington,TX,76011,682-888-1929,Dallas
,,4,Irving,2400 N. Belt Line Rd,Irving,TX,75062,972-893-3001,Dallas
,,28,Midland,4306 W. Loop 250 North,Midland,TX,79707,432-897-4740,Midland
,,35,Bedford,2500 Airport Freeway,Bedford,TX,76022,817-438-4560,Dallas
,,54,Lubbock,6709 Slide Rd,Lubbock,TX,79424,806-686-1550,Lubbock
,,92,Fossil Creek,6250 North Freeway,Fort Worth,TX,76137,817-768-3840,Dallas
,,250,Corpus Christi,5117 S. Padre Island Dr.,Corpus Christi,TX,78411,361-992-9662,Corpus 
,,21,Colorado Springs,7695 N. Academy Blvd,Colorado Springs,CO,80920,719-645-7560,CO Springs
,,24,Highlands Ranch,8555 S. Quebec St.,Highlands Ranch,CO,80126,303-927-0720,Denver
,,74,Denver West,14255 W. Colfax,Golden ,CO,80401,720-583-7780,Denver
,,112,S. Colorado Springs,2190 Southgate Rd,Colorado Springs,CO,80906,719-645-7570,CO Springs
,,177,Smoky Hill,6369 S. Southlands Pkwy,Aurora ,CO,80016,720-583-7660,Denver
,,187,Loveland,6015 Sky Pond Dr,Loveland,CO,80538,970-776-8898,Denver
,,215,E. Colorado Springs,5832 Barnes Rd,Colorado Springs,CO,80922,719-645-7340,CO Springs
,,34,Greenville,74 Beacon Dr,Greenville ,SC,29615,864-214-2260,GreenSparAsh
,,38,Cary,1102 Walnut St,Cary ,NC,27511,919-439-5030,Raleigh
,,82,Fayetteville,115 Glensford Dr,Fayetteville ,NC,28314,910-213-3360,Raleigh
,,117,Concord Mills,8001 Concord Mills Blvd,Concord,NC,28027,704-743-4565,Charlotte
,,135,Providence Rd,10710 Providence Rd,Charlotte,NC,28277,704-246-5989,Charlotte
,,186,Northlake,8315 Northlake Commons Blvd,Charlotte,NC,28216,704-612-2700,Charlotte
,,191,Gastonia,2409 E. Franklin Blvd,Gastonia,NC,28054,704-918-1420,Charlotte
,,247,Kissimmee,3250 Rolling Oaks Blvd,Kissimmee,FL,34747,407-452-5437,Orlando
,,249,Crossroads,12517 State Rd 535,Orlando,FL,32836,321-329-3188,Orlando
,,9,Plano,1505 N. Central Expy,Plano,TX,75075,972-372-0065,Dallas
,,36,Wichita  ,1930 N. Rock Rd,Wichita,KS,67206,316-854-5484,Wichita
,,81,Preston/121,5000 State Hwy 121,Plano,TX,75024,469-384-7877,Dallas
,,108,Valley Ranch  ,1220 Market Place,Irving,TX,75063,214-574-8900,Dallas
,,129,Allen,213 N. Central Expy ,Allen,TX,75013,469-795-7500,Dallas
,,150,Wichita Falls,3111 Midwestern Pkwy,Wichita Falls,TX,76308,940-228-3580,Wichita Falls
,,170,W. Wichita,2347 N. Maize Rd,Wichita,KS,67205,316-854-8699,Wichita
,,192,Addison,4855 Belt Line Rd,Addison,TX,75254,972-788-4400,Dallas
,,219,W. McKinney,"8930 State Hwy 121, Ste 530",McKinney,TX,75070,972-984-7888,Dallas
,,222,Willowbend,"5960 W. Parker Rd, Ste 210",Plano,TX,75093,972-372-0070,Dallas
,,16,South Arlington,1121 I-20 West,Arlington,TX,76016,817-522-1990,Dallas
,,48,College Station,709 Texas Ave,College Station ,TX,77840,979-314-8400,Waco
,,66,Waco,4320 W. Waco Dr,Waco,TX,76710,254-227-5040,Waco
,,86,Pleasant Run,1003 North I-35 E,DeSoto,TX,75115,214-462-7750,Dallas
,,97,Mesquite,1414 Gross Rd,Mesquite,TX,75149,214-462-7770,Dallas
,,178,Mansfield,2001 Hwy 287 N.,Mansfield,TX,76063,817-779-7370,Dallas
,,221,Grand Prairie,"5244 S State Highway 360, Ste 370",Grand Prairie,TX,75052,972-639-5050,Dallas
,,251,Knox,3130 Knox Street,Dallas,TX,75205,214-462-7760,Dallas
,,17,Lewisville,1890 S. Stemmons Frwy,Lewisville,TX,75067,469-464-5710,Dallas
,,151,Oklahoma City,3500 NW Expressway,Oklahoma City,OK,73112,405-543-2656,OKC
,,153,Meridian,120 S. Meridian,Oklahoma City,OK,73107,405-708-7710,OKC
,,155,Denton,2829 S. Interstate 35E,Denton,TX,76210,940-312-7000,Dallas
,,156,Edmond,3233 S. Broadway,Edmond,OK,73013,405-562-7150,OKC
,,202,I-240,544 Interstate 240,Oklahoma City,OK,73139,405-708-4787,OKC
,,238,Roanoke,890 E Highway 114,Roanoke,TX,76262,682-593-1746,Dallas
,,242,Midwest City,433 Planet Ct,Midwest City,OK,73110,405-622-4446,OKC
,,22,Woodland Hills,8702 E. 71st Street South,Tulsa,OK,74133,918-994-1555,Tulsa
,,71,Barry Rd,8340 NW Roanridge Rd,Kansas City,MO,64151,816-759-2270,Kansas City
,,110,Promenade,5340 E. 41st Street South,Tulsa,OK,74135,918-948-8580,Tulsa
,,116,Oak Park,11855 W. 95th St,Overland Park ,KS,66214,913-800-8262,Kansas City
,,136,Hartman Heritage,19921 E Jackson Dr,Independence,MO,64057,816-759-2110,Kansas City
,,180,Topeka,1235 SW Wanamaker Rd,Topeka,KS,66604,785-380-4755,Topeka
,,40,Wolfchase,8101 Giacosa Dr,Memphis,TN,38133,901-881-0808,Memphis
