Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"5005 E. Ray Rd",Phoenix,AZ,85044,33.31917,-111.975678,1,rooftop,5005,"E Ray Rd",,,Phoenix,AZ,"Maricopa County",85044,US,Maricopa
"7873 W. Bell Rd",Peoria,AZ,85382,33.63768,-112.22663,1,rooftop,7873,"W Bell Rd",,,Peoria,AZ,"Maricopa County",85382,US,Maricopa
"1710 S. Power Rd",Mesa,AZ,85206,33.385023,-111.685276,1,rooftop,1710,"S Power Rd",,,Mesa,AZ,"Maricopa County",85206,US,"City of Mesa"
"4411 Bryant Irvin Rd","Ft. Worth",TX,76132,32.68625,-97.413002,1,rooftop,4411,"Bryant Irvin Rd",,,"Fort Worth",TX,"Tarrant County",76132,US,"Tarrant County"
"13005 South Freeway",Burleson,"TX ",76028,32.568725,-97.317818,1,rooftop,13005,"South Fwy",,,Burleson,TX,"Tarrant County",76028,US,"Tarrant County"
"114 Interstate 20 Service Rd",Weatherford,TX,76086,32.729332,-97.786449,1,rooftop,114,"E Interstate 20",,,Weatherford,TX,"Parker County",76086,US,Parker
"6536 NW Loop 820","Fort Worth",TX,76135,32.804292,-97.428254,1,rooftop,6536,"NW Loop 820",,,"Fort Worth",TX,"Tarrant County",76135,US,Tarrant
"1350 Northwest Hwy",Garland,"TX ",75041,32.863756,-96.647539,1,rooftop,1350,"Northwest Hwy",,,Garland,TX,"Dallas County",75041,US,"City of Garland"
"4301 Broadway",Tyler,TX,75703,32.302388,-95.301414,0.9,rooftop,4301,"S Broadway Ave",,,Tyler,TX,"Smith County",75703,US,Smith
"747 IH 30 Center East",Rockwall,TX,75087,32.898401,-96.463034,1,rooftop,747,"E Interstate 30",,,Rockwall,TX,"Rockwall County",75087,US,Rockwall
"4300 Saint Michael Dr",Texarkana,TX,75503,33.453741,-94.09685,1,rooftop,4300,"St Michael Dr",,,Texarkana,TX,"Bowie County",75503,US,Bowie
"4970 N. George Bush Frwy",Garland,"TX ",75040,32.961958,-96.635076,0.9,rooftop,4970,"N George Bush Hwy",,,Garland,TX,"Dallas County",75044,US,"City of Garland"
"200 W. Loop 281",Longview,TX,75605,32.54121,-94.749724,0.9,rooftop,200,"W Loop 281",,,Longview,TX,"Gregg County",75604,US,"City of Longview"
"2011 Copeland Rd",Arlington,TX,76011,32.758753,-97.076551,0.9,rooftop,2011,"E Copeland",,,Arlington,TX,"Tarrant County",76011,US,Tarrant
"2400 N. Belt Line Rd",Irving,TX,75062,32.839683,-96.992949,1,rooftop,2400,"N Beltline Rd",,,Irving,TX,"Dallas County",75062,US,Dallas
"4306 W. Loop 250 North",Midland,TX,79707,32.030891,-102.145164,1,rooftop,4306,"W Loop 250 N",,,Midland,TX,"Midland County",79707,US,Midland
"2500 Airport Freeway",Bedford,TX,76022,32.835691,-97.1286,1,rooftop,2500,"Airport Fwy",,,Bedford,TX,"Tarrant County",76022,US,"Tarrant County"
"6709 Slide Rd",Lubbock,TX,79424,33.533634,-101.921931,1,rooftop,6709,"Slide Rd",,,Lubbock,TX,"Lubbock County",79424,US,Lubbock
"6250 North Freeway","Fort Worth",TX,76137,32.856517,-97.312261,1,rooftop,6250,"North Fwy",,,"Fort Worth",TX,"Tarrant County",76137,US,"Tarrant County"
"5117 S. Padre Island Dr.","Corpus Christi",TX,78411,27.711139,-97.378675,1,rooftop,5117,"S Padre Island Dr",,,"Corpus Christi",TX,"Nueces County",78411,US,Nueces
"7695 N. Academy Blvd","Colorado Springs",CO,80920,38.943887,-104.799705,1,rooftop,7695,"N Academy Blvd",,,"Colorado Springs",CO,"El Paso County",80920,US,"El Paso"
"8555 S. Quebec St.","Highlands Ranch",CO,80126,39.538698,-104.91546,0.6,street_center,,"S Quebec St",,,Littleton,CO,"Douglas County",80126,US,"TIGER/Line® dataset from the US Census Bureau"
